,address,apartment_size,begin_date,category,created_at,district1,id,latitude,longitude,name,normalized_price,number_of_bedrooms,occupied_dates,provider_code,city_code
1663,Van Gentstraat,130.0,2018-02-16,apartment,2017-12-20T07:07:28,amsterdam-west,829871,52.38302321,4.851178599999999,4 rooms apartment in Van Gentstraat,2400.0,4,[],pararius,amsterdam
1666,Wolvenstraat,100.0,2018-02-16,apartment,2017-10-21T07:56:31,amsterdam-centrum,615930,52.37036023,4.88623478,3 rooms apartment in Wolvenstraat,3450.0,3,[],pararius,amsterdam
1668,Henri Dunantstraat,95.0,2018-02-16,apartment,2017-10-21T07:46:00,amsterdam-nieuw-west,615336,52.34809163,4.82933897,3 rooms apartment in Henri Dunantstraat,1283.0,3,[],pararius,amsterdam
1671,Bolestein,85.0,2018-02-16,apartment,2018-01-27T06:53:17,amsterdam-zuid,963085,52.325007799999995,4.85931591,3 rooms apartment in Bolestein,1950.0,3,[],pararius,amsterdam
1672,Het Breed,103.0,2018-02-16,apartment,2018-01-19T06:18:01,amsterdam-noord,928824,52.39653795,4.93922802,3 rooms apartment in Het Breed,1650.0,3,[],pararius,amsterdam
1675,Johannes Vermeerstraat,110.0,2018-02-16,apartment,2018-01-16T06:14:24,amsterdam-zuid,920286,52.356025200000005,4.88420945,3 rooms apartment in Johannes Vermeerstraat,2150.0,3,[],pararius,amsterdam
1679,Nieuwendijk 31,85.0,2018-02-16,apartment,2018-01-06T09:58:16,amsterdam-centrum,875723,52.37827255,4.89555932,2 rooms apartment in Nieuwendijk 31,1750.0,2,[],pararius,amsterdam
1682,Herengracht,130.0,2018-02-16,apartment,2018-01-13T06:45:11,amsterdam-centrum,909086,52.37416049,4.88799811,3 rooms apartment in Herengracht,3750.0,3,[],pararius,amsterdam
1683,Marie Heinekenplein 414,80.0,2018-02-16,apartment,2018-02-02T06:24:06,amsterdam-zuid,992391,52.35718037,4.89172685,3 rooms apartment in Marie Heinekenplein 414,2100.0,3,[],pararius,amsterdam
1685,Haringpakkerssteeg,55.0,2018-02-16,apartment,2017-10-21T08:20:41,amsterdam-centrum,617409,52.37690201,4.89711851,2 rooms apartment in Haringpakkerssteeg,1850.0,2,[],pararius,amsterdam
1686,Kloveniersburgwal 77,125.0,2018-02-16,apartment,2018-01-12T09:56:37,amsterdam-centrum,907402,52.3695374,4.89794674,3 rooms apartment in Kloveniersburgwal 77,2400.0,3,[],pararius,amsterdam
1689,Dufaystraat,140.0,2018-02-16,apartment,2017-10-21T07:00:35,amsterdam-zuid,612645,52.35326052,4.86837383,4 rooms apartment in Dufaystraat,3750.0,4,[],pararius,amsterdam
1691,Elpermeer 34,85.0,2018-02-16,apartment,2018-02-09T06:06:32,amsterdam-noord,1015471,52.40153662,4.94925755,3 rooms apartment in Elpermeer 34,1450.0,3,[],pararius,amsterdam
